-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: torch::autograd...         0.79%     221.860ms         2.31%     651.584ms      58.490us       0.000us         0.00%      34.383ms       3.086us           0 b           0 b      -5.94 Gb      -6.11 Gb         11140  
                        torch::autograd::AccumulateGrad         0.32%      89.259ms         1.52%     429.724ms      38.575us       0.000us         0.00%      34.383ms       3.086us           0 b           0 b     175.80 Mb           0 b         11140  
      autograd::engine::evaluate_function: ExpBackward0         0.89%     251.630ms         1.99%     560.814ms      98.044us       0.000us         0.00%       8.480ms       1.483us           0 b           0 b    -348.07 Mb    -695.84 Mb          5720  
                                           ExpBackward0         0.18%      49.794ms         1.10%     309.184ms      54.053us       0.000us         0.00%       8.480ms       1.483us           0 b           0 b     347.78 Mb           0 b          5720  
     autograd::engine::evaluate_function: TanhBackward0         0.00%     553.000us         0.01%       1.773ms      88.650us       0.000us         0.00%      11.839ms     591.950us           0 b           0 b      -1.37 Gb      -2.74 Gb            20  
                                          TanhBackward0         0.00%     227.000us         0.00%       1.220ms      61.000us       0.000us         0.00%      11.839ms     591.950us           0 b           0 b       1.37 Gb           0 b            20  
autograd::engine::evaluate_function: ExpandBackward0...         0.06%      16.079ms         0.14%      38.497ms      29.164us       0.000us         0.00%     117.627ms      89.111us           0 b           0 b     -65.57 Gb     -66.71 Gb          1320  
                                        ExpandBackward0         0.01%       3.496ms         0.07%      20.793ms      15.752us       0.000us         0.00%     117.360ms      88.909us           0 b           0 b       1.07 Gb           0 b          1320  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.06%      17.377ms         0.21%      58.459ms      36.537us       0.000us         0.00%       1.038ms       0.649us           0 b           0 b    -278.26 Mb    -556.69 Mb          1600  
                                     UnsqueezeBackward0         0.08%      23.235ms         0.14%      40.250ms      25.156us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1600  
autograd::engine::evaluate_function: torch::autograd...         0.01%       2.900ms         0.11%      30.888ms     386.100us       0.000us         0.00%       3.147ms      39.337us           0 b           0 b     187.31 Mb    -310.97 Mb            80  
                            torch::autograd::CopySlices         0.01%       3.821ms         0.09%      26.272ms     328.400us       0.000us         0.00%       2.779ms      34.737us           0 b           0 b     497.17 Mb    -242.47 Mb            80  
                                aten::new_empty_strided         0.00%     825.000us         0.01%       3.083ms      30.830us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     419.19 Mb           0 b           100  
                         torch::autograd::CopyBackwards         0.00%     702.000us         0.01%       3.574ms      89.350us       0.000us         0.00%     220.000us       5.500us           0 b           0 b     120.34 Mb           0 b            40  
autograd::engine::evaluate_function: AsStridedBackwa...         0.02%       4.355ms         0.17%      48.652ms     173.757us       0.000us         0.00%     193.870ms     692.393us           0 b           0 b      45.98 Gb    -367.58 Mb           280  
                                     AsStridedBackward0         0.03%       8.099ms         0.15%      42.698ms     152.493us       0.000us         0.00%     193.506ms     691.093us           0 b           0 b      46.22 Gb           0 b           280  
                                        aten::new_zeros         0.01%       1.996ms         0.08%      23.305ms      83.232us       0.000us         0.00%      88.603ms     316.439us           0 b           0 b      46.22 Gb           0 b           280  
autograd::engine::evaluate_function: TransposeBackwa...         0.06%      16.762ms         0.16%      46.008ms      26.141us       0.000us         0.00%       1.721ms       0.978us           0 b           0 b    -278.78 Mb    -556.69 Mb          1760  
                                     TransposeBackward0         0.03%       9.000ms         0.10%      28.354ms      16.110us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1760  
      autograd::engine::evaluate_function: LogBackward0         0.01%       1.912ms         0.02%       5.788ms      72.350us       0.000us         0.00%     445.000us       5.562us           0 b           0 b     -63.38 Mb    -126.55 Mb            80  
                                           LogBackward0         0.00%     620.000us         0.01%       3.876ms      48.450us       0.000us         0.00%     445.000us       5.562us           0 b           0 b      63.17 Mb           0 b            80  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.05%      13.326ms         0.13%      37.340ms      27.456us       0.000us         0.00%      22.000us       0.016us           0 b           0 b     -40.00 Kb     -80.00 Kb          1360  
                                  ReshapeAliasBackward0         0.03%       8.178ms         0.08%      23.194ms      17.054us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1360  
       autograd::engine::evaluate_function: MvBackward0         0.00%     664.000us         0.02%       4.515ms     225.750us       0.000us         0.00%       1.455ms      72.750us           0 b           0 b     277.79 Mb    -606.00 Kb            20  
                                            MvBackward0         0.00%     396.000us         0.01%       3.851ms     192.550us       0.000us         0.00%       1.455ms      72.750us           0 b           0 b     278.38 Mb           0 b            20  
                                              aten::ger         0.00%     136.000us         0.01%       1.530ms      76.500us       0.000us         0.00%     566.000us      28.300us           0 b           0 b     278.34 Mb           0 b            20  
                                            aten::outer         0.00%     261.000us         0.00%       1.394ms      69.700us       0.000us         0.00%     566.000us      28.300us           0 b           0 b     278.34 Mb           0 b            20  
     autograd::engine::evaluate_function: MeanBackward1         0.02%       5.346ms         0.12%      33.886ms     121.021us       0.000us         0.00%       9.429ms      33.675us           0 b           0 b       3.62 Gb      -7.22 Mb           280  
                                          MeanBackward1         0.02%       4.784ms         0.10%      28.540ms     101.929us       0.000us         0.00%       9.429ms      33.675us           0 b           0 b       3.63 Gb           0 b           280  
      autograd::engine::evaluate_function: DivBackward0         0.01%       1.521ms         0.03%       8.235ms     411.750us       0.000us         0.00%       1.821ms      91.050us           0 b           0 b     -50.00 Kb    -133.43 Mb            20  
                                           DivBackward0         0.00%       1.162ms         0.02%       4.983ms     249.150us       0.000us         0.00%       1.586ms      79.300us           0 b           0 b     133.11 Mb    -201.45 Mb            20  
      autograd::engine::evaluate_function: SumBackward1         0.00%     717.000us         0.01%       1.988ms      99.400us       0.000us         0.00%     283.000us      14.150us           0 b           0 b    -230.00 Kb     -66.93 Mb            20  
                                           SumBackward1         0.00%     147.000us         0.00%     410.000us      20.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
      autograd::engine::evaluate_function: BmmBackward0         0.13%      36.814ms         0.54%     151.314ms     204.478us       0.000us         0.00%        1.066s       1.440ms           0 b           0 b     -49.11 Gb     -92.25 Gb           740  
                                           BmmBackward0         0.06%      16.876ms         0.41%     114.500ms     154.730us       0.000us         0.00%        1.066s       1.440ms           0 b           0 b      43.13 Gb           0 b           740  
      autograd::engine::evaluate_function: MaxBackward0         0.01%       2.328ms         0.03%       9.330ms     233.250us       0.000us         0.00%       2.106ms      52.650us           0 b           0 b      -3.07 Mb    -692.74 Mb            40  
                                           MaxBackward0         0.00%     396.000us         0.02%       5.481ms     137.025us       0.000us         0.00%     819.000us      20.475us           0 b           0 b     344.62 Mb           0 b            40  
               aten::value_selecting_reduction_backward         0.00%     584.000us         0.02%       5.085ms     127.125us       0.000us         0.00%     819.000us      20.475us           0 b           0 b     344.62 Mb           0 b            40  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     566.000us         0.01%       2.090ms     104.500us       0.000us         0.00%     446.000us      22.300us           0 b           0 b     -67.94 Mb    -135.84 Mb            20  
                                          ReluBackward0         0.00%     245.000us         0.01%       1.524ms      76.200us       0.000us         0.00%     446.000us      22.300us           0 b           0 b      67.91 Mb           0 b            20  
autograd::engine::evaluate_function: ConvDepthwise2D...         0.04%      11.413ms         0.29%      80.478ms     309.531us       0.000us         0.00%     239.752ms     922.123us           0 b           0 b      -3.36 Gb      -6.74 Gb           260  
                               ConvDepthwise2DBackward0         0.04%      10.812ms         0.24%      69.065ms     265.635us       0.000us         0.00%     239.752ms     922.123us           0 b           0 b       3.37 Gb    -210.42 Mb           260  
autograd::engine::evaluate_function: ConstantPadNdBa...         0.00%     400.000us         0.01%       2.706ms     135.300us       0.000us         0.00%     269.000us      13.450us           0 b           0 b    -640.00 Kb     -68.53 Mb            20  
                                 ConstantPadNdBackward0         0.00%     162.000us         0.01%       2.306ms     115.300us       0.000us         0.00%     269.000us      13.450us           0 b           0 b      67.91 Mb           0 b            20  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.00%     583.000us         0.02%       4.984ms     249.200us       0.000us         0.00%       1.964ms      98.200us           0 b           0 b     -48.65 Mb     -68.18 Mb            20  
                                     EmbeddingBackward0         0.00%     176.000us         0.02%       4.401ms     220.050us       0.000us         0.00%       1.964ms      98.200us           0 b           0 b      19.53 Mb           0 b            20  
                               aten::embedding_backward         0.00%     193.000us         0.01%       4.225ms     211.250us       0.000us         0.00%       1.964ms      98.200us           0 b           0 b      19.53 Mb           0 b            20  
      autograd::engine::evaluate_function: PowBackward0         0.08%      22.781ms         0.57%     161.050ms     309.712us       0.000us         0.00%      61.549ms     118.363us           0 b           0 b      -7.13 Gb     -14.27 Gb           520  
                                           PowBackward0         0.07%      18.671ms         0.45%     126.436ms     243.146us       0.000us         0.00%      44.095ms      84.798us           0 b           0 b       3.58 Gb      -7.15 Gb           520  
autograd::engine::evaluate_function: ActivationBalan...         0.26%      73.216ms         5.39%        1.521s       1.188ms       0.000us         0.00%        1.315s       1.027ms           0 b           0 b     -11.02 Gb     -54.76 Gb          1280  
                     ActivationBalancerFunctionBackward         1.53%     431.814ms         5.13%        1.447s       1.131ms       0.000us         0.00%        1.315s       1.027ms           0 b           0 b      43.75 Gb    -306.28 Gb          1280  
autograd::engine::evaluate_function: FusedDropoutBac...         0.12%      35.149ms         0.59%     165.437ms     113.313us       0.000us         0.00%     170.215ms     116.586us           0 b           0 b       3.00 Gb     -36.72 Gb          1460  
                                  FusedDropoutBackward0         0.04%      11.877ms         0.46%     130.288ms      89.238us       0.000us         0.00%     170.215ms     116.586us           0 b           0 b      39.73 Gb           0 b          1460  
autograd::engine::evaluate_function: DoubleSwishFunc...         0.11%      31.054ms         1.24%     349.307ms     447.829us       0.000us         0.00%     604.085ms     774.468us           0 b           0 b     -67.22 Gb    -100.82 Gb           780  
                            DoubleSwishFunctionBackward         0.37%     103.567ms         1.13%     318.253ms     408.017us       0.000us         0.00%     604.085ms     774.468us           0 b           0 b      33.60 Gb    -100.82 Gb           780  
autograd::engine::evaluate_function: CudnnConvolutio...         0.07%      20.498ms         0.95%     267.515ms     495.398us       0.000us         0.00%        1.305s       2.416ms           0 b           0 b      -7.69 Gb     -17.91 Gb           540  
                              CudnnConvolutionBackward0         0.03%       7.802ms         0.88%     247.017ms     457.439us       0.000us         0.00%        1.305s       2.416ms           0 b           0 b      10.21 Gb           0 b           540  
                       aten::cudnn_convolution_backward         0.07%      19.271ms         0.85%     239.215ms     442.991us       0.000us         0.00%        1.305s       2.416ms           0 b           0 b      10.21 Gb      -3.29 Gb           540  
      autograd::engine::evaluate_function: GluBackward0         0.03%       7.680ms         0.09%      26.453ms     110.221us       0.000us         0.00%      24.153ms     100.638us           0 b           0 b      -3.29 Gb      -9.87 Gb           240  
                                           GluBackward0         0.01%       2.063ms         0.07%      18.773ms      78.221us       0.000us         0.00%      24.153ms     100.638us           0 b           0 b       6.58 Gb           0 b           240  
autograd::engine::evaluate_function: SoftmaxBackward...         0.03%       9.291ms         0.13%      36.459ms     151.912us       0.000us         0.00%     240.176ms       1.001ms           0 b           0 b     -46.13 Gb     -69.20 Gb           240  
                                       SoftmaxBackward0         0.01%       2.753ms         0.10%      27.168ms     113.200us       0.000us         0.00%     240.176ms       1.001ms           0 b           0 b      23.06 Gb           0 b           240  
autograd::engine::evaluate_function: MaskedFillBackw...         0.02%       6.134ms         0.15%      41.082ms     171.175us       0.000us         0.00%     160.795ms     669.979us           0 b           0 b       6.01 Mb     -23.06 Gb           240  
                                    MaskedFillBackward0         0.01%       3.272ms         0.12%      34.948ms     145.617us       0.000us         0.00%     160.795ms     669.979us           0 b           0 b      23.07 Gb           0 b           240  
    autograd::engine::evaluate_function: SplitBackward0         0.03%       8.709ms         0.11%      29.681ms     123.671us       0.000us         0.00%      48.181ms     200.754us           0 b           0 b      27.53 Mb      -9.88 Gb           240  
                                         SplitBackward0         0.01%       1.883ms         0.07%      20.972ms      87.383us       0.000us         0.00%      48.181ms     200.754us           0 b           0 b       9.90 Gb           0 b           240  
                                        cudaBindTexture         0.00%     936.000us         0.00%     936.000us       5.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           180  
                                      cudaUnbindTexture         0.00%     200.000us         0.00%     200.000us       1.111us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           180  
                                  cudaDeviceSynchronize         0.22%      61.396ms         0.22%      61.396ms      61.396ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 28.207s
Self CUDA time total: 14.423s

